Division,Weight Class,Lift,Name,Kilos,Pounds,Date,Location,Event,Status,HasRecord
JUNIOR MEN 18 TO 19,140+kg/SHW,TOTAL,Harley Redd,770.0,1697.6,06/08/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,52kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,52kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,52kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,52kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,56kg,Squat,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,56kg,Bench,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,56kg,Deadlift,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,56kg,TOTAL,No existing record,,,,ohio,raw-powerlifting,drug-tested,False
JUNIOR MEN 20 TO 23,60kg/132.2lb,Squat,Logan Kent,190.0,418.9,09/28/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,60kg/132.2lb,Bench,Nick Gilmore,97.5,215.0,06/23/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,60kg/132.2lb,Deadlift,Logan Kent,227.5,501.6,09/28/2019,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,60kg/132.2lb,TOTAL,Logan Kent,477.5,1052.7,06/23/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,67.5kg/148.7lb,Squat,Joey Zarlinga,205.0,451.9,11/10/2018,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,67.5kg/148.7lb,Bench,Robert Gessler,131.0,288.8,01/29/2023,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,67.5kg/148.7lb,Deadlift,Emilio Mendiola,251.0,553.4,10/17/2021,ohio,raw-powerlifting,drug-tested,True
JUNIOR MEN 20 TO 23,67.5kg/148.7lb,TOTAL,Nathan Weaver,567.5,1251.1,02/17/2019,ohio,raw-powerlifting,drug-tested,True
